analysis_id	transcript_id	gene_id	es	nes	frac	fdr
prad_cvn	t1	g1	0.65	4.5	0.99	0
prad_cvn	t2	g1	-0.21	-1.4	-0.97	0.0005
prad_cvn	t3	g1	0.01	0.5	0.3	0.8
prad_cvn	t4	g2	0.03	0.3	0.1	0.9
prad_cvn	t5	g2	0.85	10	0.999	0
prad_cvn	t6	g3	-0.42	-5	-0.99	0
prad_cvn	t7	g4	-0.12	-2	-0.98	0.00001
prad_cvn	t8	g5	0.33	5	0.98	0.000001
prad_cvn	t9	g6	-0.1	-3	-0.98	0.0001
prad_cvn	t10	g6	0.4	5	0.984	0.000001
breast_cvn	t1	g1	0.65	4.5	0.99	0
breast_cvn	t2	g1	-0.21	-1.4	-0.87	0.0005
breast_cvn	t3	g1	0.01	0.5	0.3	0.8
breast_cvn	t4	g2	0.03	0.3	0.1	0.9
breast_cvn	t5	g2	0.85	10	0.999	0
breast_cvn	t6	g3	-0.42	-5	-0.99	0
breast_cvn	t7	g4	-0.12	-2	-0.98	0.00001
breast_cvn	t8	g5	0.33	5	0.98	0.000001
breast_cvn	t9	g6	-0.1	-3	-0.98	0.0001
breast_cvn	t10	g6	0.4	5	0.984	0.000001
lung_cvn	t1	g1	0.65	4.5	0.99	0
lung_cvn	t2	g1	-0.21	-1.4	-0.77	0.0005
lung_cvn	t3	g1	0.01	0.5	0.3	0.8
lung_cvn	t4	g2	0.03	0.3	0.1	0.9
lung_cvn	t5	g2	0.85	10	0.999	0
lung_cvn	t6	g3	-0.42	-5	-0.99	0
lung_cvn	t7	g4	-0.12	-2	-0.98	0.00001
lung_cvn	t8	g5	0.33	5	0.98	0.000001
lung_cvn	t9	g6	-0.1	-3	-0.98	0.0001
lung_cvn	t10	g6	0.4	5	0.984	0.000001
prad_tissue	t1	g1	0.65	4.5	0.99	0
prad_tissue	t2	g1	-0.21	-1.4	-0.57	0.0005
prad_tissue	t3	g1	0.01	0.5	0.3	0.8
prad_tissue	t4	g2	0.03	0.3	0.1	0.9
prad_tissue	t5	g2	0.85	10	0.999	0
prad_tissue	t6	g3	-0.42	-5	-0.99	0
prad_tissue	t7	g4	-0.12	-2	-0.98	0.00001
prad_tissue	t8	g5	0.33	5	0.98	0.000001
prad_tissue	t9	g6	-0.1	-3	-0.98	0.0001
prad_tissue	t10	g6	0.4	5	0.984	0.000001
breast_tissue	t1	g1	0.65	4.5	0.99	0
breast_tissue	t2	g1	-0.21	-1.4	-0.97	0.0005
breast_tissue	t3	g1	0.01	0.5	0.3	0.8
breast_tissue	t4	g2	0.03	0.3	0.1	0.9
breast_tissue	t5	g2	0.85	10	0.999	0
breast_tissue	t6	g3	-0.42	-5	-0.99	0
breast_tissue	t7	g4	-0.12	-2	-0.98	0.00001
breast_tissue	t8	g5	0.33	5	0.98	0.000001
breast_tissue	t9	g6	-0.1	-3	-0.98	0.0001
breast_tissue	t10	g6	0.4	5	0.984	0.000001
lung_tissue	t1	g1	0.65	4.5	0.99	0
lung_tissue	t2	g1	-0.21	-1.4	-0.97	0.0005
lung_tissue	t3	g1	0.01	0.5	0.3	0.8
lung_tissue	t4	g2	0.03	0.3	0.1	0.9
lung_tissue	t5	g2	0.85	10	0.999	0
lung_tissue	t6	g3	-0.42	-5	-0.99	0
lung_tissue	t7	g4	-0.12	-2	-0.98	0.00001
lung_tissue	t8	g5	0.33	5	0.98	0.000001
lung_tissue	t9	g6	-0.1	-3	-0.98	0.0001
lung_tissue	t10	g6	0.4	5	0.984	0.000001
